from,to,relationship,year
ck,B90,2,2022
fb,EU,2,2022
ft,FDP,2,2022
rs,SPD,2,2022
rs,ES,3,2021
co,EP,2,2009
mt,T,7,2021
ck,T,7,2021
ck,T,6,2021
jb,M,7,2021
jb,USA,7,2021
jb,B,2,2022
ck,B,2,2022
fb,B,2,2022
mt,B,2,2022
co,B,2,2022
rs,B,2,2022
tl,B,2,2022
ft,B,2,2022
bs,B,2,2022
jb,DSW,3,2021
jb,LiSL,3,2021
ft,T,7,2021
rs,Z,7,2021
mt,EUP,2,2019
jb,EUP,2,2019
fb,EUP,2,2019
bs,EUP,2,2019
ck,EUP,2,2019
mt,EP,2,2019
jb,EP,2,2019
fb,EP,2,2019
bs,EP,2,2019
ck,EP,2,2019
ck,SWR,3,2017
ft,FNS,5,2005
mt,FNS,5,
rs,KfW,3,2021
ft,KfW,3,2020
mt,KfW,3,2021
ft,SspF,3,2021
co,SspF,3,2021
mt,THS,3,2021
co,THS,3,2021
fb,BWK,1,2022
ft,BF,1,2022
rs,BUN,1,2022
tl,AA,1,2022
bs,BJ,1,2022
co,BME,1,2022
mt,BDV,1,2022
ck,BUN,1,2022
jb,BBF,1,2022
rs,jb,1,2022
ck,fb,2,2022
ck,tl,2,2022
ck,co,2,2022
tl,co,2,2022
fb,co,2,2022
fb,tl,2,2022
jb,mt,2,2022
jb,ft,2,2022
bs,jb,2,2022
ft,bs,2,2022
bs,mt,2,2022
mt,ft,2,2022
ft,mt,5,2021
jb,fb,3,2019
bs,fb,3,2019
jb,bs,3,2019
jb,ck,3,2019
ck,fb,3,2019
bs,ck,3,2019
tl,fb,3,2019
bs,tl,3,2019
tl,ck,3,2019
jb,tl,3,2019
rs,ft,3,2019
mt,rs,3,2019
mt,ft,3,2021
ft,co,3,2021
co,mt,3,2021
