id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
ft,Toncar,Florian Toncar,0,2,1979,1,5,3,4,3,3,8.599,3071,4.477,99
bs ,Strasser,Benjamin Strasser,0,2,1987,1,4,3,4,2,0,5815,3936,3386,288
mt,Theurer,Micheal Theurer,0,2,1967,1,4,3,4,3,2,8481,3745,27911,NA
jb,Brandenburg,Jens Brandenburg,0,2,1986,1,5,3,4,NA,0,5411,3330,NA,NA
ck,Kühn,Chris Kühn,0,2,1979,1,4,2,3,NA,3,4830,1662,NA,35
fb,Branter,Franziska Brantner,0,1,1979,1,5,2,3,NA,1,14054,4.483,2748,26
coe,Oezdemir,Cem Oedzemir,0,2,1965,3,4,2,3,NA,2,317810,105000,162551,NA
tl,Lindner,Tobias Lindner,0,2,1982,3,5,3,3,NA,NA,10.578,3.617,4.920,NA
rss,Schwarzeluehr Sutter,Rita Schwarzeluehr Sutter,0,1,1962,1,4,3,2,2,2,4.254,1540,2942,NA
FDP,FDP,FDP,1,NA,NA,NA,NA,NA,NA,NA,NA,404338,175000,169703,20200
Julis,Julis,Jugendorganisation der FDP,1,NA,NA,NA,NA,NA,NA,NA,NA,26218,28600,21449,3150
Gruene,Gruene,Die Gruenen,1,NA,NA,NA,NA,NA,NA,NA,NA,631960,226000,229660,24800
GrueneJugend,GrueneJugend,Jugendorganisation der Gruene,1,NA,NA,NA,NA,NA,NA,NA,NA,73631,53500,15114,824
SPD,SPD,SPD,1,NA,NA,NA,NA,NA,NA,NA,NA,419009,92800,81369,1625
BMWK,BMWK,Bundesministerium für Wirtschaft und Klimaschutz,1,NA,NA,NA,NA,NA,NA,NA,NA,106102,18900,63798,6940
BMF,BMF,Bundesfinanzministerium,1,NA,NA,NA,NA,NA,NA,NA,NA,83416,NA,44245,NA
BIH,Bundesministerium für Inneres und Heimat,Bundesministerium für Inneres und Heimat ,1,NA,NA,NA,NA,NA,NA,NA,NA,161489,NA,NA,4140
HA,Haushaltaauschuss,Haushaltsausschuss,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BdJ,Bundesministerium der Justiz ,Bundesministerium der Jutiz ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BfEL,Bundesministerium für Ernaehrung und Landwirtschaft,Bundesministerium für Ernaehrung und Landwirtschaft,1,NA,NA,NA,NA,NA,NA,NA,NA,59269,37300,NA,NA
BfDuV,Bundesminister für Digitales und Verkehr,Bundesministerium für Digitales und Verkehr,1,NA,NA,NA,NA,NA,NA,NA,NA,50583,37200,10934,2630
BfUNnSV,Bundesministerium Umwelt,Bundesministerium für Umwelt und Naturschutz und nukleare Sicherheit und Verbraucherschutz,1,NA,NA,NA,NA,NA,NA,NA,NA,174732,NA,NA,NA
BBF,Bildung und Forschung,Bundesministerium für Bildung und Forschung,1,NA,NA,NA,NA,NA,NA,NA,NA,71591,29800,24513,NA
EUP,EUP,Europa Union Parlamentariergruppe,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KfW,KfW,Kreditanstalt für Wiederaufbau,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GzSsF,Gesellschaft zum Studium strukturpolitischer Fragen e.V,Gesellschaft zum Studium strukturpolitischer Fragen e.V,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KTHS,Kuratorium Theodor-Heuss-Stiftung,Kuratorium Theodor-Heuss-Stiftung,1,NA,NA,NA,NA,NA,NA,NA,NA,141,546,151
RE,Uni Regensburg,Universitaet Regensburg,1,NA,NA,NA,NA,NA,NA,NA,NA,1308,16200,6695,709
CA,Uni Cambridge,Universitaet Cambridge ,1,NA,NA,NA,NA,NA,NA,NA,NA,658.246,1000000,2429080,357000
HD,Uni Heidelberg,Universitaet Heidelberg,1,NA,NA,NA,NA,NA,NA,NA,NA,24377,16000,59983,18500
TUE,Uni Tuebingen,Eberhard-Karls-Universität Tuebingen,1,NA,NA,NA,NA,NA,NA,NA,NA,18033,15800,26988,3080
KO,Uni Konstanz ,Universitaet Konstanz,1,NA,NA,NA,NA,NA,NA,NA,NA,11.155,12.300,19824,30.800
MA,Uni Mannnheim,Universitaet Mannheim,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.100,NA,2.850
GSoEaSS,Graduate Schoo,Graduate School of Economic and Social Sciences,1,NA,NA,NA,NA,NA,NA,NA,NA,768,NA,1324,195
IPP,Institut dEtudes Politiques in Paris,Institut dEtudes Politiques in Paris,1,NA,NA,NA,NA,NA,NA,NA,NA,138819,NA,NA,NA
CUNW,Columbia University in New York,Columbia University in New York,1,NA,NA,NA,NA,NA,NA,NA,NA,434725,303000,435963,NA
EFfSR,Evangelische Fachhochschule für Sozialwesen in Reutlingen,Evangelische Fachhochschule für Sozialwesen in Reutlingen,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,NA,NA
THKA,technische Uni Karlsruhe,Universität Karlsruhe (TH),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,Uni Freiburg,Albert Ludwigs Universitaet Freiburg,1,NA,NA,NA,NA,NA,NA,NA,NA,6679,19800,16657,483
ZU,Uni Zuerich,Universitaet Zuerich,1,NA,NA,NA,NA,NA,NA,NA,NA,21737,2108,39982,3850
